name,type,lat,lng
"Government Vocational Higher Secondary School, Mananthavady",school,11.7898818,76.0029303
Govt College Mananthavady,school,11.7787782,76.0015246
Morden English school,school,11.7534917,76.0069651
GLPS Peechamkode,school,11.7501774,75.9991641
Sacred Heart Higher Secondary School,school,11.7597339,76.0104461
Govtt. Junior Technical High School,school,11.7615999,76.0103374
Railway Ticket Counter,ticket,11.7978727,76.0061983
christian,religion,11.7471808,75.9321499
Green Mart Supermarket,supermarket,11.7579087,76.0069637
National Book Stall,books,11.6132931,76.0827857
Sana Sweets,confectionery,11.8479924,76.0645387
WynnBerry,supermarket,11.8039561,76.008766
Vijeesh,photo,11.588554,76.0973988
Hiba Hypermarket,supermarket,11.6198177,76.2114351
Anugraha Bakery and Cool Bar,bakery,11.8473561,76.0629862
Chunkam Medicals,medical_supply,11.6637632,76.261842
Malabar Medicals,medical_supply,11.6639197,76.2618366
Archana sweets and bakes,bakery,11.6638125,76.2613334
Kalyan Sarees,clothes,11.6637308,76.2620787
Vegetable Shop,greengrocer,11.6639459,76.2623658
Dany sweets chungam sulthan bathery,bakery,11.6637677,76.2616348
Chungam Glass House,houseware,11.6633724,76.2614047
Bharat Sarees and Readymades,clothes,11.6631215,76.2555169
Sneha Medical,medical_supply,11.6622589,76.2536552
Bhima Jewellers,jewelry,11.6645972,76.2624867
Central Medicals,medical_supply,11.6651535,76.262657
Global Books,books,11.6637634,76.2619348
Zion Furniture Mart,furniture,11.6600335,76.1674408
J K F vegetables and fruits,greengrocer,11.6601649,76.1660593
malancharakku vyaparam,greengrocer,11.6601796,76.1659428
Chartex Kaithary vasthranirmathakkal,clothes,11.6597879,76.1646071
Madeena Family collections,clothes,11.6600799,76.1641079
Baby Mall,mall,11.6601532,76.1639184
Meleppat Golds,jewelry,11.660223,76.1635186
Gulf Bazaar,mobile_phone,11.6604088,76.1628379
Crown Electronics,radiotechnics,11.660415,76.1620345
Dona Medicals,medical_supply,11.6602818,76.1617752
Majestic,supermarket,11.6043641,76.0836209
Kerala State Road Transport Cooperation Booking,travel_agency,11.6050402,76.083659
Neethi Medical,medical_supply,11.60535,76.0835738
VK fish stall,yes,11.6073265,76.0834227
zam zam vegetables and fruits,yes,11.6077405,76.0833829
Kalpetta Pharmacy,medical_supply,11.6079946,76.0833327
Current & DC books,books,11.6081787,76.0833665
Desiya Ayurveda Pharmacy,medical_supply,11.6088163,76.08333
TipTop Furniture Wayanad,furniture,11.6556035,76.1586619
Emission Testing Centre,car_repair,11.6555312,76.1583412
Devi Industries/ workshop,taxi,11.6553505,76.157584
Thymas medicals,medical_supply,11.6099943,76.0828295
Chemmanur International Jwellers,jewelry,11.6103778,76.0825929
Neeemaathalam Books,books,11.7384017,76.0710788
Supplyco Super Market,supermarket,11.7352387,76.0730099
Ration Store #2,department_store,11.7423451,76.1199914
Petti kada,variety_store,11.7419476,76.1197161
Maveli store,department_store,11.7418938,76.1196722
Akshaya Fertiziler depot,agrarian,11.7416689,76.1195193
Meat world pork stall,butcher,11.7416544,76.1194949
Nadavayal Co-Operative Milk Society,dairy,11.7414237,76.1196726
Appai's Star Bakery,bakery,11.7414838,76.1193351
Bharath Agri super market,supermarket,11.7414362,76.1192898
Areena Studio,photo,11.7412093,76.1195091
Nagarjuna Ayurvedic store,medical_supply,11.7413032,76.1191639
Asamsa footwar,mobile_phone,11.7412244,76.1191183
Chillu footwear,mobile_phone,11.7411063,76.1190446
Chillu readymades,clothes,11.741208,76.1191069
Chillu tailors,clothes,11.7412146,76.1190939
Sams Bakery;Indian national congress I group Nadavayal Town committee office,bakery,11.7412691,76.118947
Ickara Super market,supermarket,11.741124,76.119233
Olive Bakery,bakery,11.7406501,76.1188947
PBC,storage_rental,11.7407053,76.1188102
Chittaloorkunnu co-operative milk society,dairy,11.7404865,76.1181969
Ration Shop,convenience,11.7391834,76.1182673
kallu shap,beverages,11.6634312,76.2616559
Kisan Kendra,agrarian,11.6620355,76.2523774
Chic Land,stationery,11.7980359,76.0054535
Holy Face High School,school,11.7408788,75.8994956
Galaxy Auto Spares,yes,11.5526177,76.1465813
Apple cafe,bakery,11.6093357,76.0830964
Anjekunu,books,11.7415527,76.0721245
Vinayaga Spices Agency,supermarket,11.5508546,76.0385716
durga tea agencies,yes,11.5848348,76.2540942
High School Meppadi,school,11.5604563,76.130612
Wayanad Backpackers,travel_agency,11.6333558,76.223176
Bosch Car Service,car_repair,11.6588506,76.1706467
falcon,supermarket,11.6600314,76.1676798
famous,bakery,11.6599886,76.1678347
auto care,car_repair,11.6602184,76.1673016
aysha complex,mall,11.6610852,76.1618502
GLPS Meenangadi,school,11.6630285,76.1670961
"Government Model Higher Secondary School, Varkala",school,11.7301736,75.9555439
Cocoons Gents Wear,clothes,11.7235311,76.149975
Vikas Bakes,bakery,11.7233944,76.1521496
Clothier Fashion Hub,clothes,11.723498,76.1517313
Indu Medicals Kenichira,medical_supply,11.7223118,76.1529931
Supply Co Maveli Store,supermarket,11.7220166,76.153013
